Restrição de Atendimento;Escola;Código INEP;UF;Município;Localização;Localidade Diferenciada;Categoria Administrativa;Endereço;Telefone;Dependência Administrativa;Categoria Escola Privada;Conveniada Poder Público;Regulamentação pelo Conselho de Educação;Porte da Escola;Etapas e Modalidade de Ensino Oferecidas;Outras Ofertas Educacionais;Latitude;Longitude
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;MARIA LEONOR DE CAMPOS MOTA MIRANDA PROFA EMEI;35004658;SP;São José dos Campos;Urbana;A escola não está em área de localização diferenciada;Pública;"FRANCISCO DAS CHAGAS FILHO, 21 LOTEAMENTO SANTA EDWIGES. 12234-842 São José dos Campos - SP.";(12) 39122973;Municipal;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;Educação Infantil;;-23.2931209;-45.8999783
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ESCOLA DE EDUCACAO INFANTIL GENTE MIUDA;35005091;SP;São José dos Campos;Urbana;A escola não está em área de localização diferenciada;Privada;"FELICIO JABBUR NASSER, 810 CONJUNTO RESIDENCIAL GALO BRANCO. 12247-530 São José dos Campos - SP.";(12) 39052610;Privada;Particular;Não;Sim;Até 50 matrículas de escolarização;Educação Infantil;;-23.1355394;-45.773803
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;MARIA APARECIDA SEGOLIN DE REZENDE PROFA CEDIN;35005250;SP;São José dos Campos;Urbana;A escola não está em área de localização diferenciada;Privada;"JOAO RODOLFO CASTELLI, 4025 PUTIM. 12228-000 São José dos Campos - SP.";(12) 39122917;Privada;Comunitária;Sim;Sim;Entre 501 e 1000 matrículas de escolarização;Educação Infantil;;-23.2528722;-45.8024186
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ESPIRAL ESCOLA VIVA;35005466;SP;São José dos Campos;Urbana;A escola não está em área de localização diferenciada;Privada;"DO BARAO RIO BRANCO, 149 JARDIM ESPLANADA II. 12242-800 São José dos Campos - SP.";(12) 39432070;Privada;Particular;Não;Sim;Até 50 matrículas de escolarização;Ensino Fundamental;;-23.19543369;-45.90130932
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;COLEGIO EL SHADAY;35005467;SP;São José dos Campos;Urbana;A escola não está em área de localização diferenciada;Privada;"ALEXANDRE MAGNO, 225 JARDIM ORIENTE. 12236-190 São José dos Campos - SP.";;Privada;Particular;Não;Sim;Entre 51 e 200 matrículas de escolarização;Ensino Fundamental;;-23.239095;-45.8997581
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;MARIA CURSINO CECOI;35005606;SP;São José dos Campos;Urbana;A escola não está em área de localização diferenciada;Privada;"DOIS, 100 BAIRRINHO. 12213-646 São José dos Campos - SP.";(12) 39012287;Privada;Comunitária;Sim;Sim;Entre 51 e 200 matrículas de escolarização;Educação Infantil;;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;DEJANIRA MOREIRA MACHADO DOS SANTOS PROFª CEDIN;35005807;SP;São José dos Campos;Urbana;A escola não está em área de localização diferenciada;Privada;"RODOLFO DE AQUINO, 11 SETVILLE ALTOS DE SAO JOSE. 12226-619 São José dos Campos - SP.";(12) 39294779;Privada;Comunitária;Sim;Sim;Entre 51 e 200 matrículas de escolarização;Educação Infantil;;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;COLEGIO MONTESSORI;35006123;SP;São José dos Campos;Urbana;A escola não está em área de localização diferenciada;Privada;"RAUL ROLDAO DA COSTA, 32 VILA BETANIA. 12245-484 São José dos Campos - SP.";(12) 33410320;Privada;Particular;Não;Sim;Entre 51 e 200 matrículas de escolarização;"Educação Infantil, Ensino Fundamental";;-23.2070760748459;-45.8880049488505
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;INSTITUTO FOCUS EDUCACIONAL;35006169;SP;São José dos Campos;Urbana;A escola não está em área de localização diferenciada;Privada;"JOSE DE RESENDE, 270 JARDIM SUL. 12236-489 São José dos Campos - SP.";;Privada;Particular;Não;Sim;Até 50 matrículas de escolarização;"Educação Infantil, Ensino Fundamental";;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ESCOLA PINDORAMA;35006177;SP;São José dos Campos;Urbana;A escola não está em área de localização diferenciada;Privada;"PORTO NOVO, 421 JARDIM SATELITE. 12230-060 São José dos Campos - SP.";(12) 39337275;Privada;Particular;Não;Sim;Entre 201 e 500 matrículas de escolarização;"Educação Infantil, Ensino Fundamental";;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ALCEU MAYNARD ARAUJO PROFESSOR;35013481;SP;São José dos Campos;Urbana;A escola não está em área de localização diferenciada;Pública;"MIOSOTIS, 75 RUA. JARDIM MOTORAMA. 12224-100 São José dos Campos - SP.";(12) 39295576;Estadual;Não Informado;Não;Sim;Mais de 1000 matrículas de escolarização;"Ensino Fundamental, Ensino Médio, Educação de Jovens Adultos";"Atendimento Educacional Especializado, Atividade Complementar";-23.1733033;-45.8183618
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EDEWALDO FREITAS GAIA SANT ANA PROFESSOR;35013493;SP;São José dos Campos;Urbana;A escola não está em área de localização diferenciada;Pública;"ROSARIO, 540 RUA. JARDIM AMERICA. 12235-420 São José dos Campos - SP.";(12) 39314667;Estadual;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;Ensino Fundamental;;-23.2343897;-45.9002901
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ZILDA ALTIMIRA SOCI PROFESSORA;35013500;SP;São José dos Campos;Urbana;A escola não está em área de localização diferenciada;Pública;"LARGO DA BOA VISTA, 480 LARGO. BOA VISTA. 12213-690 São José dos Campos - SP.";(12) 39224690;Estadual;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;Ensino Fundamental;;-23.1343937;-45.9111948
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EUNICE CORDEIRO DOS SANTOS RODRIGUES PROFESSORA;35013511;SP;São José dos Campos;Urbana;A escola não está em área de localização diferenciada;Pública;"RUA MAJOR MANOEL FERNANDES NETTO, 370 RUA. VILA SAO GERALDO. 12213-270 São José dos Campos - SP.";(12) 39234955;Estadual;Não Informado;Não;Sim;Entre 501 e 1000 matrículas de escolarização;Ensino Fundamental;Atendimento Educacional Especializado;-23.1480678;-45.9110108
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ILZA IRMA MOELLER COPPIO PROFESSORA;35013523;SP;São José dos Campos;Urbana;A escola não está em área de localização diferenciada;Pública;"JAGUARI, 362 RUA. VILA SINHA. 12212-659 São José dos Campos - SP.";(12) 39217820;Estadual;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;Ensino Médio;;-23.1565049;-45.9059745
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;FELICIO SAVASTANO PROFESSOR;35013547;SP;São José dos Campos;Urbana;A escola não está em área de localização diferenciada;Pública;"RUA CAPITAO RAUL FAGUNDES, 341 RUA. MONTE CASTELO. 12215-030 São José dos Campos - SP.";(12) 39234700;Estadual;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;Ensino Fundamental;;-23.1827269;-45.8728266
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;JORGE BARBOSA MOREIRA PROFESSOR;35013559;SP;São José dos Campos;Urbana;A escola não está em área de localização diferenciada;Pública;"MARIA CANDIDA DELGADO, 10 AVENIDA. VILA CANDIDA. 12213-531 São José dos Campos - SP.";(12) 39234689;Estadual;Não Informado;Não;Sim;Entre 501 e 1000 matrículas de escolarização;"Ensino Fundamental, Ensino Médio";Atendimento Educacional Especializado;-23.140736608766;-45.9018134884536
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;JOSE VIEIRA MACEDO PROFESSOR;35013560;SP;São José dos Campos;Urbana;A escola não está em área de localização diferenciada;Pública;"IPIAU, 162 RUA. JARDIM SATELITE. 12230-750 São José dos Campos - SP.";(12) 39315911;Estadual;Não Informado;Não;Sim;Entre 501 e 1000 matrículas de escolarização;"Ensino Médio, Educação de Jovens Adultos";;-23.2307031;-45.8880897
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ANA CANDIDA DE BARROS MOLINA PROFESSORA;35013572;SP;São José dos Campos;Urbana;A escola não está em área de localização diferenciada;Pública;"SAIGIRO NAKAMURA, 300 PREDIO. VILA INDUSTRIAL. 12220-280 São José dos Campos - SP.";(12) 39051899;Estadual;Não Informado;Não;Sim;Entre 501 e 1000 matrículas de escolarização;"Ensino Fundamental, Ensino Médio, Educação de Jovens Adultos";Atendimento Educacional Especializado;-23.18051;-45.86193
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;PEDRO MAZZA PROFESSOR;35013584;SP;São José dos Campos;Urbana;A escola não está em área de localização diferenciada;Pública;"ODETE MIMESSI, 160 RUA. JARDIM DA GRANJA. 12227-200 São José dos Campos - SP.";(12) 39234623;Estadual;Não Informado;Não;Sim;Entre 501 e 1000 matrículas de escolarização;"Ensino Fundamental, Ensino Médio";;-23.20168589;-45.85722165
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;PEDRO MASCARENHAS DOUTOR;35013596;SP;São José dos Campos;Urbana;A escola não está em área de localização diferenciada;Pública;"AMBROSIO MOLINA, 306 RUA. EUGENIO DE MELLO. 12247-000 São José dos Campos - SP.";(12) 39051361;Estadual;Não Informado;Não;Sim;Entre 501 e 1000 matrículas de escolarização;"Ensino Fundamental, Ensino Médio, Educação de Jovens Adultos";Atendimento Educacional Especializado;-23.1412248788652;-45.785531987039
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EUCLIDES BUENO MIRAGAIA;35013602;SP;São José dos Campos;Urbana;A escola não está em área de localização diferenciada;Pública;"RODOVIA DOS TAMOIOS, 470 RODOVIA. VILA NAIR. 12231-590 São José dos Campos - SP.";(12) 39210167;Estadual;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;"Ensino Fundamental, Ensino Médio";Atividade Complementar;-23.27149;-45.79753
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;OLIMPIO CATAO;35013626;SP;São José dos Campos;Urbana;A escola não está em área de localização diferenciada;Pública;"PRACA AFONSO PENA, SN PRACA. CENTRO. 12210-090 São José dos Campos - SP.";(12) 39220729;Estadual;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;Ensino Fundamental;;-23.183857;-45.8868943
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;FRANCISCO JOAO LEME;35013638;SP;São José dos Campos;Urbana;A escola não está em área de localização diferenciada;Pública;"CONSTITUINTE, 37 RUA. ALTO DA PONTE. 12212-380 São José dos Campos - SP.";(12) 39216015;Estadual;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;Ensino Fundamental;;-23.15089107;-45.9026295
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;YOSHIYA TAKAOKA;35013648;SP;São José dos Campos;Urbana;A escola não está em área de localização diferenciada;Pública;"JOSE BONIFACIO DE ARANTES, 272 RUA. VILA PAIVA. 12213-350 São José dos Campos - SP.";(12) 39234743;Estadual;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;"Ensino Fundamental, Ensino Médio";Atividade Complementar;-23.1416864;-45.9114056
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;SANT ANA DO PARAIBA;35013651;SP;São José dos Campos;Urbana;A escola não está em área de localização diferenciada;Pública;"GUARANI, 130 RUA. SANTANA. 12211-740 São José dos Campos - SP.";(12) 39216870;Estadual;Não Informado;Não;Sim;Entre 501 e 1000 matrículas de escolarização;Ensino Fundamental;Atendimento Educacional Especializado;-23.1591533333333;-45.896605
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ARMANDO D OLIVEIRA COBRA;35013730;SP;São José dos Campos;Urbana;A escola não está em área de localização diferenciada;Pública;"TREZE DE MAIO, 295 CENTRO - DISTRITO DE SAO FRANCISCO XAVIER. 12249-000 São José dos Campos - SP.";(12) 39261154;Estadual;Não Informado;Não;Sim;Entre 51 e 200 matrículas de escolarização;"Ensino Médio, Educação de Jovens Adultos";Atendimento Educacional Especializado;-22.9115415;-45.9602247
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;MARIA LUIZA DE GUIMARAES MEDEIROS PROFESSORA;35013754;SP;São José dos Campos;Urbana;A escola não está em área de localização diferenciada;Pública;"RUA SAO LUIZ GONZAGA, 89 RUA. SANTANA. 12212-200 São José dos Campos - SP.";(12) 39221606;Estadual;Não Informado;Não;Sim;Entre 501 e 1000 matrículas de escolarização;"Ensino Médio, Educação de Jovens Adultos";"Atendimento Educacional Especializado, Atividade Complementar";-23.1628210796042;-45.8994746860117
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;WILMA RAGAZZI BOCCARDO PROFESSORA;35013778;SP;São José dos Campos;Urbana;A escola não está em área de localização diferenciada;Pública;"BACABAL, 3550 RUA. PARQUE INDUSTRIAL. 12235-681 São José dos Campos - SP.";(12) 39314670;Estadual;Não Informado;Não;Sim;Entre 501 e 1000 matrículas de escolarização;Ensino Fundamental;;-23.25419;-45.9154466666667
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;MAURICIO ANISSE CURY DOUTOR;35013791;SP;São José dos Campos;Urbana;A escola não está em área de localização diferenciada;Pública;"AVENIDA ENGENHEIRO FRANCISCO JOSE LONGO, 832 AVENIDA. JARDIM SAO DIMAS. 12245-001 São José dos Campos - SP.";(12) 39212777;Estadual;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;Ensino Fundamental;Atendimento Educacional Especializado;-23.2004429;-45.8892757
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;JOSE MARIOTTO FERREIRA MAJOR AVIADOR;35013869;SP;São José dos Campos;Urbana;A escola não está em área de localização diferenciada;Pública;"PRACA MARECHAL EDUARDO GOMES, 50 CAMPUS DO CTA. VILA DAS ACACIAS. 12228-530 São José dos Campos - SP.";(12) 39223637;Estadual;Não Informado;Não;Sim;Mais de 1000 matrículas de escolarização;"Ensino Fundamental, Ensino Médio";;-23.2032475;-45.8695344
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;SUELY ANTUNES DE MELLO PROFESSORA;35013894;SP;São José dos Campos;Urbana;A escola não está em área de localização diferenciada;Pública;"SIQUEIRA CAMPOS, 845 RUA. CENTRO. 12210-250 São José dos Campos - SP.";(12) 39213944;Estadual;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;Ensino Fundamental;;-23.1785724777728;-45.8789384365082
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;RONDON MARECHAL;35013912;SP;São José dos Campos;Urbana;A escola não está em área de localização diferenciada;Pública;"FRANCISCO ESCOBAR, 165 PRACA. MONTE CASTELO. 12215-170 São José dos Campos - SP.";(12) 39218626;Estadual;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;Ensino Fundamental;;-23.1836696807295;-45.874561322853
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;RUI RODRIGUES DORIA DOUTOR;35013924;SP;São José dos Campos;Urbana;A escola não está em área de localização diferenciada;Pública;"OLIVO GOMES, 329 RUA. VILA ALEXANDRINA. 12211-290 São José dos Campos - SP.";(12) 39220438;Estadual;Não Informado;Não;Sim;Entre 501 e 1000 matrículas de escolarização;"Ensino Fundamental, Ensino Médio";;-23.162078;-45.8944399
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;FRANCISCO PEREIRA DA SILVA PROFESSOR;35013936;SP;São José dos Campos;Urbana;A escola não está em área de localização diferenciada;Pública;"UIRAPURU, 131 PRACA. VILA TATETUBA. 12220-190 São José dos Campos - SP.";(12) 39295572;Estadual;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;Ensino Médio;;-23.1833865;-45.8536964
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;JOAO CURSINO;35013948;SP;São José dos Campos;Urbana;A escola não está em área de localização diferenciada;Pública;"AVENIDA ENGENHEIRO FRANCISCO JOSE LONGO, 782 AVENIDA. JARDIM SAO DIMAS. 12245-001 São José dos Campos - SP.";(12) 39215804;Estadual;Não Informado;Não;Sim;Mais de 1000 matrículas de escolarização;"Ensino Fundamental, Ensino Médio, Educação de Jovens Adultos";Atendimento Educacional Especializado;-23.1998006;-45.88939558
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;VALMAR LOURENCO SANTIAGO PROFESSOR;35020874;SP;São José dos Campos;Urbana;A escola não está em área de localização diferenciada;Pública;"RUA DANTAS LUIS DO PRADO, 345 AVENIDA. CAMPOS DE SAO JOSE. 12226-553 São José dos Campos - SP.";(12) 39022460;Estadual;Não Informado;Não;Sim;Entre 501 e 1000 matrículas de escolarização;Ensino Médio;;-23.2113016;-45.8111142
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ESTEVAM FERRI PROFESSOR;35023462;SP;São José dos Campos;Urbana;A escola não está em área de localização diferenciada;Pública;"CANTIDIO MIRAGAIA, 100 RUA. MONTE CASTELO. 12215-110 São José dos Campos - SP.";(12) 39419795;Estadual;Não Informado;Não;Sim;Entre 501 e 1000 matrículas de escolarização;Ensino Médio;;-23.1832459;-45.8747842
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;MARIA DOLORES VERISSIMO MADUREIRA PROFESSORA;35035361;SP;São José dos Campos;Urbana;A escola não está em área de localização diferenciada;Pública;"SERRA DO RONCADOR, 310 RUA. JARDIM ANHEMBI. 12235-240 São José dos Campos - SP.";(12) 39314645;Estadual;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;Ensino Médio;;-23.2249406;-45.8998233
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;JOAQUIM ANDRADE MEIRELLES PROFESSOR;35035373;SP;São José dos Campos;Urbana;A escola não está em área de localização diferenciada;Pública;"MARANDUBA, SN RUA. JARDIM SATELITE. 12230-680 São José dos Campos - SP.";(12) 39330993;Estadual;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;Ensino Médio;;-23.2324870163575;-45.8821792993695
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ELMANO FERREIRA VELOSO;35035385;SP;São José dos Campos;Urbana;A escola não está em área de localização diferenciada;Pública;"MONTE AZUL, 795 RUA. CHACARAS REUNIDAS. 12238-350 São José dos Campos - SP.";(12) 39314646;Estadual;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;"Ensino Fundamental, Ensino Médio";Atividade Complementar;-23.2525163;-45.9241655
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;JUVENAL MACHADO DE ARAUJO PROFESSOR;35035397;SP;São José dos Campos;Urbana;A escola não está em área de localização diferenciada;Pública;"VICENTE CELESTINO, 150 RUA. VILA TESOURO. 12221-540 São José dos Campos - SP.";(12) 39296447;Estadual;Não Informado;Não;Sim;Mais de 1000 matrículas de escolarização;"Ensino Fundamental, Ensino Médio";Atividade Complementar;-23.1703777;-45.8406594
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;LOURDES MARIA DE CAMARGO PROFESSORA;35037837;SP;São José dos Campos;Urbana;A escola não está em área de localização diferenciada;Pública;"AVENIDA DOM PEDRO I, 341 AVENIDA. JARDIM IMPERIAL. 12234-010 São José dos Campos - SP.";(12) 39661344;Estadual;Não Informado;Não;Sim;Mais de 1000 matrículas de escolarização;"Ensino Fundamental, Ensino Médio";"Atendimento Educacional Especializado, Atividade Complementar";-23.28265321;-45.89749643
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;JENI DAVI BACHA PROFESSORA;35037849;SP;São José dos Campos;Urbana;A escola não está em área de localização diferenciada;Pública;"RUA ANTONIO DE OLIVEIRA PINTO, 83 RUA. BUQUIRINHA. 12213-831 São José dos Campos - SP.";(12) 39481188;Estadual;Não Informado;Não;Sim;Entre 501 e 1000 matrículas de escolarização;"Ensino Fundamental, Ensino Médio";;-23.1115741;-45.9132452
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;FRANCISCO LOPES DE AZEVEDO PROFESSOR;35039640;SP;São José dos Campos;Urbana;A escola não está em área de localização diferenciada;Pública;"ANTARES, 330 RUA. JARDIM SATELITE. 12230-250 São José dos Campos - SP.";(12) 39311723;Estadual;Não Informado;Não;Sim;Entre 501 e 1000 matrículas de escolarização;"Ensino Fundamental, Ensino Médio";Atividade Complementar;-23.22010698;-45.89605279
ESCOLA PARALISADA;POSSIDONIO SALLES PROF;35040344;SP;São José dos Campos;Urbana;Não Informado;Pública;"RUA BENEDITO ERAS, JARDIM AMERICANO. 12225-070 São José dos Campos - SP.";(12) 39295574;Estadual;Não Informado;Não;;;;;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;DORIVAL MONTEIRO DE OLIVEIRA PROFESSOR;35042304;SP;São José dos Campos;Urbana;A escola não está em área de localização diferenciada;Pública;"PEDREIROS, 367 RUA. PARQUE NOVO HORIZONTE. 12225-660 São José dos Campos - SP.";(12) 39071570;Estadual;Não Informado;Não;Sim;Mais de 1000 matrículas de escolarização;"Ensino Médio, Educação de Jovens Adultos";Atividade Complementar;-23.194424;-45.7856517
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;MALBA THEREZA FERRAZ CAMPANER PROFESSORA;35042316;SP;São José dos Campos;Urbana;A escola não está em área de localização diferenciada;Pública;"MIKADO, 142 PRACA. JARDIM ORIENTE. 12236-160 São José dos Campos - SP.";(12) 39316322;Estadual;Não Informado;Não;Sim;Mais de 1000 matrículas de escolarização;"Ensino Fundamental, Ensino Médio";Atividade Complementar;-23.2427128;-45.8961898
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;NELSON DO NASCIMENTO MONTEIRO PROFESSOR;35042328;SP;São José dos Campos;Urbana;A escola não está em área de localização diferenciada;Pública;"HERMENEGILDO SCARENSI, 91 PARQUE INDUSTRIAL. CONJUNTO RESIDENCIAL TRINTA E UM DE MARCO. 12237-750 São José dos Campos - SP.";(12) 39315844;Estadual;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;Ensino Médio;;-23.2476411;-45.9175881
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;DOMINGOS DE MACEDO CUSTODIO PROFESSOR;35042336;SP;São José dos Campos;Urbana;A escola não está em área de localização diferenciada;Pública;"BENEDITO UGOLINO SILVA GUERRA, 311 PRACA. VILA SAO BENEDITO. 12227-060 São José dos Campos - SP.";(12) 39222004;Estadual;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;Ensino Fundamental;;-23.19562024;-45.86447073
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;MIGUEL NAKED MAJOR;35045469;SP;São José dos Campos;Urbana;A escola não está em área de localização diferenciada;Pública;"BENEDITO BENTO, 195 AVENIDA. CIDADE MORUMBI. 12236-580 São José dos Campos - SP.";(12) 39312922;Estadual;Não Informado;Não;Sim;Entre 501 e 1000 matrículas de escolarização;"Ensino Fundamental, Ensino Médio";Atividade Complementar;-23.2502021;-45.9053261
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;MARILDA FERREIRA DE BRITO BARROS PEREIRA;35045470;SP;São José dos Campos;Urbana;A escola não está em área de localização diferenciada;Pública;"RUA MANOEL SALDANHA, 401 RUA. VALE DOS PINHEIROS. 12242-330 São José dos Campos - SP.";(12) 39222543;Estadual;Não Informado;Não;Sim;Entre 501 e 1000 matrículas de escolarização;"Ensino Fundamental, Ensino Médio";;-23.1979877;-45.9123357
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ADELIA CHUCRI NEME;35046826;SP;São José dos Campos;Urbana;A escola não está em área de localização diferenciada;Pública;"AVENIDA PRESIDENTE JUSCELINO KUBITSCHEK, 6701 AVENIDA. VILA INDUSTRIAL. 12220-000 São José dos Campos - SP.";(12) 39293816;Estadual;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;Ensino Fundamental;Atendimento Educacional Especializado;-23.1826055;-45.8605613
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;MOABE CURY;35047934;SP;São José dos Campos;Urbana;A escola não está em área de localização diferenciada;Pública;"AVELINO ALVES DA SILVA, 101 RUA. CONJUNTO RESIDENCIAL ELMANO VELOSO. 12234-701 São José dos Campos - SP.";(12) 39661439;Estadual;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;"Ensino Fundamental, Ensino Médio";;-23.278868;-45.8938012
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;HENRIQUETA COSTA PORTO PROFESSORA;35047946;SP;São José dos Campos;Urbana;A escola não está em área de localização diferenciada;Pública;"SANTAREM, 970 RUA. PARQUE INDUSTRIAL. 12235-550 São José dos Campos - SP.";(12) 39312300;Estadual;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;Ensino Fundamental;;-23.234333;-45.908781
